Software,Version,Dependent Toolchain,Module Load Command
intel-compilers,2021.4.0,intel/2021b,`module load intel-compilers/2021.4.0`
tecplot,2024,-,`module load tecplot/2024`
Java,11.0.16,-,`module load Java/11.0.16`
Java,.modulerc,-,`module load Java/.modulerc`
gompi,2022b,-,`module load gompi/2022b`
gompi,2023b,-,`module load gompi/2023b`
gompi,2021b,-,`module load gompi/2021b`
ncurses,6.3,-,`module load ncurses/6.3`
ncurses,6.4,-,`module load ncurses/6.4`
ncurses,6.2,-,`module load ncurses/6.2`
gfbf,2022b,-,`module load gfbf/2022b`
gfbf,2023b,-,`module load gfbf/2023b`
p7zip,17.04,-,`module load p7zip/17.04`
libevent,2.1.12,-,`module load libevent/2.1.12`
ABAQUS,2024-hotfix-2405,-,`module load ABAQUS/2024-hotfix-2405`
git-lfs,3.2.0,-,`module load git-lfs/3.2.0`
GCC,12.2.0,foss/2022b,`module load GCC/12.2.0`
GCC,13.2.0,foss/2023b,`module load GCC/13.2.0`
GCC,11.2.0,foss/2021b,`module load GCC/11.2.0`
opendihu,2204,-,`module load opendihu/2204`
opendihu,1.5,-,`module load opendihu/1.5`
git,2.33.1,-,`module load git/2.33.1`
rclone,1.57.0,-,`module load rclone/1.57.0`
tmux,3.3a,-,`module load tmux/3.3a`
iimpi,2022b,-,`module load iimpi/2022b`
iimpi,2023b,-,`module load iimpi/2023b`
iimpi,2022a,-,`module load iimpi/2022a`
iimpi,2021b,-,`module load iimpi/2021b`
MATLAB,2024a,-,`module load MATLAB/2024a`
MATLAB,2023a,-,`module load MATLAB/2023a`
ANSYS,2022,-,`module load ANSYS/2022`
Anaconda3,2023.09-0,-,`module load Anaconda3/2023.09-0`
Anaconda3,5.3.0,-,`module load Anaconda3/5.3.0`
GCCcore,12.2.0,-,`module load GCCcore/12.2.0`
GCCcore,11.3.0,-,`module load GCCcore/11.3.0`
GCCcore,13.2.0,-,`module load GCCcore/13.2.0`
GCCcore,11.2.0,-,`module load GCCcore/11.2.0`
COMSOL,6.2,-,`module load COMSOL/6.2`
COMSOL,5.6,-,`module load COMSOL/5.6`
tecplot360ex,2022R2,-,`module load tecplot360ex/2022R2`
Go,1.17.3,-,`module load Go/1.17.3`
Go,1.17.6,-,`module load Go/1.17.6`
pkgconf,1.8.0,-,`module load pkgconf/1.8.0`
matplotlib,3.4.3,intel/2021b,`module load intel/2021b matplotlib/3.4.3`
CP2K,8.2,intel/2021b,`module load intel/2021b CP2K/8.2`
PLUMED,2.8.0,intel/2021b,`module load intel/2021b PLUMED/2.8.0`
netCDF-Fortran,4.5.3,intel/2021b,`module load intel/2021b netCDF-Fortran/4.5.3`
netCDF,4.8.1,intel/2021b,`module load intel/2021b netCDF/4.8.1`
SciPy-bundle,2021.10,intel/2021b,`module load intel/2021b SciPy-bundle/2021.10`
SCOTCH,6.1.2,intel/2021b,`module load intel/2021b SCOTCH/6.1.2`
HDF5,1.12.1,intel/2021b,`module load intel/2021b HDF5/1.12.1`
Libint,2.7.2-lmax-6-cp2k,intel/2021b,`module load intel/2021b Libint/2.7.2-lmax-6-cp2k`
SuperLU,5.3.0,intel/2021b,`module load intel/2021b SuperLU/5.3.0`
ELPA,2021.11.001,intel/2021b,`module load intel/2021b ELPA/2021.11.001`
imkl-FFTW,2021.4.0,intel/2021b,`module load intel/2021b imkl-FFTW/2021.4.0`
HPL,2.3,intel/2022b,`module load intel/2022b HPL/2.3`
HDF5,1.14.0,intel/2022b,`module load intel/2022b HDF5/1.14.0`
imkl-FFTW,2022.2.1,intel/2022b,`module load intel/2022b imkl-FFTW/2022.2.1`
VASP,6.4.2,intel/2022b,`module load intel/2022b VASP/6.4.2`
VASP,6.5.0,intel/2022b,`module load intel/2022b VASP/6.5.0`
GROMACS,2021.5,foss/2021b,`module load foss/2021b GROMACS/2021.5`
GROMACS,2021.5-CUDA-11.4.1,foss/2021b,`module load foss/2021b GROMACS/2021.5-CUDA-11.4.1`
matplotlib,3.4.3,foss/2021b,`module load foss/2021b matplotlib/3.4.3`
R,4.2.0,foss/2021b,`module load foss/2021b R/4.2.0`
OpenFOAM,v2112,foss/2021b,`module load foss/2021b OpenFOAM/v2112`
PLUMED,2.7.3,foss/2021b,`module load foss/2021b PLUMED/2.7.3`
MDAnalysis,2.0.0,foss/2021b,`module load foss/2021b MDAnalysis/2.0.0`
LIGGGHTS-PUBLIC,3.8.0-kokkos-CUDA-11.4.1,foss/2021b,`module load foss/2021b LIGGGHTS-PUBLIC/3.8.0-kokkos-CUDA-11.4.1`
netCDF-Fortran,4.5.3,foss/2021b,`module load foss/2021b netCDF-Fortran/4.5.3`
Biopython,1.79,foss/2021b,`module load foss/2021b Biopython/1.79`
LAMMPS,23Jun2022-kokkos-CUDA-11.4.1,foss/2021b,`module load foss/2021b LAMMPS/23Jun2022-kokkos-CUDA-11.4.1`
LAMMPS,23Jun2022-kokkos,foss/2021b,`module load foss/2021b LAMMPS/23Jun2022-kokkos`
magma,2.6.2-CUDA-11.4.1,foss/2021b,`module load foss/2021b magma/2.6.2-CUDA-11.4.1`
SuiteSparse,5.10.1-METIS-5.1.0,foss/2021b,`module load foss/2021b SuiteSparse/5.10.1-METIS-5.1.0`
OVITO,3.7.11-basic,foss/2021b,`module load foss/2021b OVITO/3.7.11-basic`
netCDF,4.8.1,foss/2021b,`module load foss/2021b netCDF/4.8.1`
MUMPS,5.4.1-metis,foss/2021b,`module load foss/2021b MUMPS/5.4.1-metis`
ParaView,5.9.1-mpi,foss/2021b,`module load foss/2021b ParaView/5.9.1-mpi`
Boost.MPI,1.77.0,foss/2021b,`module load foss/2021b Boost.MPI/1.77.0`
CGAL,4.14.3,foss/2021b,`module load foss/2021b CGAL/4.14.3`
SciPy-bundle,2021.10,foss/2021b,`module load foss/2021b SciPy-bundle/2021.10`
QuantumESPRESSO,7.1,foss/2021b,`module load foss/2021b QuantumESPRESSO/7.1`
SCOTCH,6.1.2,foss/2021b,`module load foss/2021b SCOTCH/6.1.2`
RIP-MD,master,foss/2021b,`module load foss/2021b RIP-MD/master`
HDF5,1.12.1,foss/2021b,`module load foss/2021b HDF5/1.12.1`
AFNI,23.0.04-Python-3.9.6,foss/2021b,`module load foss/2021b AFNI/23.0.04-Python-3.9.6`
VTK,9.1.0,foss/2021b,`module load foss/2021b VTK/9.1.0`
perm-md-count,main,foss/2021b,`module load foss/2021b perm-md-count/main`
ParMETIS,4.0.3,foss/2021b,`module load foss/2021b ParMETIS/4.0.3`
networkx,2.6.3,foss/2021b,`module load foss/2021b networkx/2.6.3`
FFTW,3.3.10,foss/2021b,`module load foss/2021b FFTW/3.3.10`
ELPA,2021.05.001,foss/2021b,`module load foss/2021b ELPA/2021.05.001`
GDAL,3.3.2,foss/2021b,`module load foss/2021b GDAL/3.3.2`
ScaFaCoS,1.0.1,foss/2021b,`module load foss/2021b ScaFaCoS/1.0.1`
ScaLAPACK,2.1.0-fb,foss/2021b,`module load foss/2021b ScaLAPACK/2.1.0-fb`
MDI,1.4.29,foss/2023b,`module load foss/2023b MDI/1.4.29`
GROMACS,2024.1,foss/2023b,`module load foss/2023b GROMACS/2024.1`
OpenFOAM,v2406,foss/2023b,`module load foss/2023b OpenFOAM/v2406`
PLUMED,2.9.2,foss/2023b,`module load foss/2023b PLUMED/2.9.2`
LAMMPS,2Aug2023_update2-kokkos,foss/2023b,`module load foss/2023b LAMMPS/2Aug2023_update2-kokkos`
mpi4py,3.1.5,foss/2023b,`module load foss/2023b mpi4py/3.1.5`
netCDF,4.9.2,foss/2023b,`module load foss/2023b netCDF/4.9.2`
MUMPS,5.6.1-metis,foss/2023b,`module load foss/2023b MUMPS/5.6.1-metis`
ParaView,5.12.0,foss/2023b,`module load foss/2023b ParaView/5.12.0`
Clp,1.17.9,foss/2023b,`module load foss/2023b Clp/1.17.9`
Cgl,0.60.8,foss/2023b,`module load foss/2023b Cgl/0.60.8`
Chapel,2.3.0,foss/2023b,`module load foss/2023b Chapel/2.3.0`
Chapel,2.1.0,foss/2023b,`module load foss/2023b Chapel/2.1.0`
Armadillo,12.8.0,foss/2023b,`module load foss/2023b Armadillo/12.8.0`
SCOTCH,7.0.4,foss/2023b,`module load foss/2023b SCOTCH/7.0.4`
HDF5,1.14.3,foss/2023b,`module load foss/2023b HDF5/1.14.3`
VTK,9.3.0,foss/2023b,`module load foss/2023b VTK/9.3.0`
OR-Tools,9.9,foss/2023b,`module load foss/2023b OR-Tools/9.9`
Cbc,2.10.11,foss/2023b,`module load foss/2023b Cbc/2.10.11`
KaHIP,3.16,foss/2023b,`module load foss/2023b KaHIP/3.16`
GDAL,3.9.0,foss/2023b,`module load foss/2023b GDAL/3.9.0`
netCDF-C++4,4.3.1,foss/2023b,`module load foss/2023b netCDF-C++4/4.3.1`
FFTW.MPI,3.3.10,foss/2023b,`module load foss/2023b FFTW.MPI/3.3.10`
arpack-ng,3.9.0,foss/2023b,`module load foss/2023b arpack-ng/3.9.0`
ScaFaCoS,1.0.4,foss/2023b,`module load foss/2023b ScaFaCoS/1.0.4`
ScaLAPACK,2.2.0-fb,foss/2023b,`module load foss/2023b ScaLAPACK/2.2.0-fb`
GROMACS,2023.1-CUDA-12.0.0,foss/2022b,`module load foss/2022b GROMACS/2023.1-CUDA-12.0.0`
GROMACS,2024.4-CUDA-12.4.0,foss/2022b,`module load foss/2022b GROMACS/2024.4-CUDA-12.4.0`
R,4.2.2,foss/2022b,`module load foss/2022b R/4.2.2`
OpenFOAM,v2306,foss/2022b,`module load foss/2022b OpenFOAM/v2306`
ncview,2.1.8,foss/2022b,`module load foss/2022b ncview/2.1.8`
CP2K,2023.1,foss/2022b,`module load foss/2022b CP2K/2023.1`
PLUMED,2.9.0,foss/2022b,`module load foss/2022b PLUMED/2.9.0`
MDAnalysis,2.4.2,foss/2022b,`module load foss/2022b MDAnalysis/2.4.2`
PnetCDF,1.12.3,foss/2022b,`module load foss/2022b PnetCDF/1.12.3`
netCDF-Fortran,4.6.0,foss/2022b,`module load foss/2022b netCDF-Fortran/4.6.0`
Biopython,1.81,foss/2022b,`module load foss/2022b Biopython/1.81`
PyTables,3.8.0,foss/2022b,`module load foss/2022b PyTables/3.8.0`
SuiteSparse,5.13.0-METIS-5.1.0,foss/2022b,`module load foss/2022b SuiteSparse/5.13.0-METIS-5.1.0`
mpi4py,3.1.4,foss/2022b,`module load foss/2022b mpi4py/3.1.4`
netCDF,4.9.0,foss/2022b,`module load foss/2022b netCDF/4.9.0`
MUMPS,5.6.1-metis,foss/2022b,`module load foss/2022b MUMPS/5.6.1-metis`
ParaView,5.11.0-mpi,foss/2022b,`module load foss/2022b ParaView/5.11.0-mpi`
ParaView,5.11.1,foss/2022b,`module load foss/2022b ParaView/5.11.1`
IQ-TREE,2.2.2.6,foss/2022b,`module load foss/2022b IQ-TREE/2.2.2.6`
chapel,1.33.0,foss/2022b,`module load foss/2022b chapel/1.33.0`
SuperLU_DIST,8.1.0,foss/2022b,`module load foss/2022b SuperLU_DIST/8.1.0`
SuperLU_DIST,8.1.2,foss/2022b,`module load foss/2022b SuperLU_DIST/8.1.2`
Armadillo,11.4.3,foss/2022b,`module load foss/2022b Armadillo/11.4.3`
HPL,2.3,foss/2022b,`module load foss/2022b HPL/2.3`
SCOTCH,7.0.3,foss/2022b,`module load foss/2022b SCOTCH/7.0.3`
HDF5,1.14.0,foss/2022b,`module load foss/2022b HDF5/1.14.0`
xtb,6.6.1,foss/2022b,`module load foss/2022b xtb/6.6.1`
perm-md-count,main,foss/2022b,`module load foss/2022b perm-md-count/main`
ParMETIS,4.0.3,foss/2022b,`module load foss/2022b ParMETIS/4.0.3`
PETSc,3.19.2,foss/2022b,`module load foss/2022b PETSc/3.19.2`
MPAS,8.0.1,foss/2022b,`module load foss/2022b MPAS/8.0.1`
SuperLU,5.3.0,foss/2022b,`module load foss/2022b SuperLU/5.3.0`
KaHIP,3.14,foss/2022b,`module load foss/2022b KaHIP/3.14`
ORCA,5.0.4,foss/2022b,`module load foss/2022b ORCA/5.0.4`
VMD,1.9.4a57,foss/2022b,`module load foss/2022b VMD/1.9.4a57`
arkouda,2023.11.15,foss/2022b,`module load foss/2022b arkouda/2023.11.15`
GDAL,3.6.2,foss/2022b,`module load foss/2022b GDAL/3.6.2`
ParallelIO,2.5.10,foss/2022b,`module load foss/2022b ParallelIO/2.5.10`
Grace,5.1.25,foss/2022b,`module load foss/2022b Grace/5.1.25`
FFTW.MPI,3.3.10,foss/2022b,`module load foss/2022b FFTW.MPI/3.3.10`
RASPA2,2.0.47,foss/2022b,`module load foss/2022b RASPA2/2.0.47`
arpack-ng,3.8.0,foss/2022b,`module load foss/2022b arpack-ng/3.8.0`
Valgrind,3.21.0,foss/2022b,`module load foss/2022b Valgrind/3.21.0`
ScaLAPACK,2.2.0-fb,foss/2022b,`module load foss/2022b ScaLAPACK/2.2.0-fb`
Hypre,2.27.0,foss/2022b,`module load foss/2022b Hypre/2.27.0`
libxsmm,1.17,intel/2021b,`module load intel/2021b libxsmm/1.17`
impi,2021.4.0,intel/2021b,`module load intel/2021b`
GSL,2.7,intel/2021b,`module load intel/2021b GSL/2.7`
Boost,1.77.0,intel/2021b,`module load intel/2021b Boost/1.77.0`
libxc,5.1.6,intel/2021b,`module load intel/2021b libxc/5.1.6`
libxc,4.3.4,intel/2021b,`module load intel/2021b libxc/4.3.4`
libxsmm,1.16.2,intel/2022b,`module load intel/2022b libxsmm/1.16.2`
impi,2021.7.1,intel/2022b,`module load intel/2022b`
libxc,6.1.0,intel/2022b,`module load intel/2022b libxc/6.1.0`
libxc,5.2.3,intel/2022b,`module load intel/2022b libxc/5.2.3`
Boost.Python,1.77.0,foss/2021b,`module load foss/2021b Boost.Python/1.77.0`
poppler,22.01.0,foss/2021b,`module load foss/2021b poppler/22.01.0`
AutoDock-GPU,1.5.3-CUDA-11.4.1,foss/2021b,`module load foss/2021b AutoDock-GPU/1.5.3-CUDA-11.4.1`
pocl,1.8,foss/2021b,`module load foss/2021b pocl/1.8`
OpenMPI,4.1.1,foss/2021b,`module load foss/2021b`
OpenBLAS,0.3.18,foss/2021b,`module load foss/2021b OpenBLAS/0.3.18`
GSL,2.7,foss/2021b,`module load foss/2021b GSL/2.7`
BLIS,0.8.1,foss/2021b,`module load foss/2021b BLIS/0.8.1`
Boost,1.79.0,foss/2021b,`module load foss/2021b Boost/1.79.0`
Boost,1.77.0,foss/2021b,`module load foss/2021b Boost/1.77.0`
POV-Ray,3.7.0.10,foss/2021b,`module load foss/2021b POV-Ray/3.7.0.10`
FlexiBLAS,3.0.4,foss/2021b,`module load foss/2021b FlexiBLAS/3.0.4`
VirtualGL,3.0,foss/2021b,`module load foss/2021b VirtualGL/3.0`
libxc,5.1.6,foss/2021b,`module load foss/2021b libxc/5.1.6`
GEOS,3.9.1,foss/2021b,`module load foss/2021b GEOS/3.9.1`
matplotlib,3.8.2,foss/2023b,`module load foss/2023b matplotlib/3.8.2`
R,4.4.1,foss/2023b,`module load foss/2023b R/4.4.1`
kim-api,2.3.0,foss/2023b,`module load foss/2023b kim-api/2.3.0`
Osi,0.108.10,foss/2023b,`module load foss/2023b Osi/0.108.10`
HiGHS,1.7.0,foss/2023b,`module load foss/2023b HiGHS/1.7.0`
LEMON,1.3.1,foss/2023b,`module load foss/2023b LEMON/1.3.1`
CoinUtils,2.11.10,foss/2023b,`module load foss/2023b CoinUtils/2.11.10`
SciPy-bundle,2023.11,foss/2023b,`module load foss/2023b SciPy-bundle/2023.11`
OpenMPI,4.1.6,foss/2023b,`module load foss/2023b`
OpenBLAS,0.3.24,foss/2023b,`module load foss/2023b OpenBLAS/0.3.24`
GSL,2.7,foss/2023b,`module load foss/2023b GSL/2.7`
networkx,3.2.1,foss/2023b,`module load foss/2023b networkx/3.2.1`
BLIS,0.9.0,foss/2023b,`module load foss/2023b BLIS/0.9.0`
Boost,1.83.0,foss/2023b,`module load foss/2023b Boost/1.83.0`
FFTW,3.3.10,foss/2023b,`module load foss/2023b FFTW/3.3.10`
ncdu,1.20,foss/2023b,`module load foss/2023b ncdu/1.20`
FlexiBLAS,3.3.1,foss/2023b,`module load foss/2023b FlexiBLAS/3.3.1`
GEOS,3.12.1,foss/2023b,`module load foss/2023b GEOS/3.12.1`
matplotlib,3.7.0,foss/2022b,`module load foss/2022b matplotlib/3.7.0`
libxsmm,1.17,foss/2022b,`module load foss/2022b libxsmm/1.17`
packmol,20.14.3,foss/2022b,`module load foss/2022b packmol/20.14.3`
pocl,4.0,foss/2022b,`module load foss/2022b pocl/4.0`
NTL,11.5.1,foss/2022b,`module load foss/2022b NTL/11.5.1`
Arb,2.23.0,foss/2022b,`module load foss/2022b Arb/2.23.0`
SciPy-bundle,2023.02,foss/2022b,`module load foss/2022b SciPy-bundle/2023.02`
Libint,2.7.2-lmax-6-cp2k,foss/2022b,`module load foss/2022b Libint/2.7.2-lmax-6-cp2k`
OpenMPI,4.1.4,foss/2022b,`module load foss/2022b`
xtb,6.6.1,foss/2022b,`module load foss/2022b xtb/6.6.1`
OpenBLAS,0.3.21,foss/2022b,`module load foss/2022b OpenBLAS/0.3.21`
GSL,2.7,foss/2022b,`module load foss/2022b GSL/2.7`
networkx,2.8.8,foss/2022b,`module load foss/2022b networkx/2.8.8`
networkx,3.0,foss/2022b,`module load foss/2022b networkx/3.0`
BLIS,0.9.0,foss/2022b,`module load foss/2022b BLIS/0.9.0`
CREST,2.12,foss/2022b,`module load foss/2022b CREST/2.12`
Arrow,11.0.0,foss/2022b,`module load foss/2022b Arrow/11.0.0`
Boost,1.81.0,foss/2022b,`module load foss/2022b Boost/1.81.0`
FFTW,3.3.10,foss/2022b,`module load foss/2022b FFTW/3.3.10`
POV-Ray,3.7.0.10,foss/2022b,`module load foss/2022b POV-Ray/3.7.0.10`
silo,4.10.2,foss/2022b,`module load foss/2022b silo/4.10.2`
FlexiBLAS,3.2.1,foss/2022b,`module load foss/2022b FlexiBLAS/3.2.1`
VirtualGL,3.1,foss/2022b,`module load foss/2022b VirtualGL/3.1`
libxc,6.1.0,foss/2022b,`module load foss/2022b libxc/6.1.0`
FLINT,2.9.0,foss/2022b,`module load foss/2022b FLINT/2.9.0`
FLINT,3.0.1,foss/2022b,`module load foss/2022b FLINT/3.0.1`
GEOS,3.11.1,foss/2022b,`module load foss/2022b GEOS/3.11.1`
libsndfile,1.0.31,foss/2021b,`module load foss/2021b libsndfile/1.0.31`
nodejs,14.17.6,foss/2021b,`module load foss/2021b nodejs/14.17.6`
Rust,1.54.0,foss/2021b,`module load foss/2021b Rust/1.54.0`
zlib,1.2.11,foss/2021b,`module load foss/2021b zlib/1.2.11`
OpenEXR,3.1.1,foss/2021b,`module load foss/2021b OpenEXR/3.1.1`
jbigkit,2.1,foss/2021b,`module load foss/2021b jbigkit/2.1`
libgd,2.3.3,foss/2021b,`module load foss/2021b libgd/2.3.3`
lz4,1.9.3,foss/2021b,`module load foss/2021b lz4/1.9.3`
kim-api,2.3.0,foss/2021b,`module load foss/2021b kim-api/2.3.0`
motif,2.3.8,foss/2021b,`module load foss/2021b motif/2.3.8`
libarchive,3.5.1,foss/2021b,`module load foss/2021b libarchive/3.5.1`
Ninja,1.10.2,foss/2021b,`module load foss/2021b Ninja/1.10.2`
Perl,5.34.0,foss/2021b,`module load foss/2021b Perl/5.34.0`
M4,1.4.19,foss/2021b,`module load foss/2021b M4/1.4.19`
GLib,2.69.1,foss/2021b,`module load foss/2021b GLib/2.69.1`
ICU,69.1,foss/2021b,`module load foss/2021b ICU/69.1`
groff,1.22.4,foss/2021b,`module load foss/2021b groff/1.22.4`
Meson,0.58.2,foss/2021b,`module load foss/2021b Meson/0.58.2`
UDUNITS,2.2.28,foss/2021b,`module load foss/2021b UDUNITS/2.2.28`
Z3,4.8.12,foss/2021b,`module load foss/2021b Z3/4.8.12`
gettext,0.21,foss/2021b,`module load foss/2021b gettext/0.21`
libvorbis,1.3.7,foss/2021b,`module load foss/2021b libvorbis/1.3.7`
LittleCMS,2.12,foss/2021b,`module load foss/2021b LittleCMS/2.12`
scikit-build,0.11.1,foss/2021b,`module load foss/2021b scikit-build/0.11.1`
Szip,2.1.1,foss/2021b,`module load foss/2021b Szip/2.1.1`
libffi,3.4.2,foss/2021b,`module load foss/2021b libffi/3.4.2`
PCRE,8.45,foss/2021b,`module load foss/2021b PCRE/8.45`
Eigen,3.4.0,foss/2021b,`module load foss/2021b Eigen/3.4.0`
Eigen,3.3.9,foss/2021b,`module load foss/2021b Eigen/3.3.9`
GObject-Introspection,1.68.0,foss/2021b,`module load foss/2021b GObject-Introspection/1.68.0`
LAME,3.100,foss/2021b,`module load foss/2021b LAME/3.100`
snappy,1.1.9,foss/2021b,`module load foss/2021b snappy/1.1.9`
NSS,3.69,foss/2021b,`module load foss/2021b NSS/3.69`
expat,2.4.1,foss/2021b,`module load foss/2021b expat/2.4.1`
Autoconf,2.71,foss/2021b,`module load foss/2021b Autoconf/2.71`
Xvfb,1.20.13,foss/2021b,`module load foss/2021b Xvfb/1.20.13`
xxd,8.2.4220,foss/2021b,`module load foss/2021b xxd/8.2.4220`
XZ,5.2.5,foss/2021b,`module load foss/2021b XZ/5.2.5`
cppy,1.1.0,foss/2021b,`module load foss/2021b cppy/1.1.0`
X11,20210802,foss/2021b,`module load foss/2021b X11/20210802`
Mesa,21.1.7,foss/2021b,`module load foss/2021b Mesa/21.1.7`
GLPK,5.0,foss/2021b,`module load foss/2021b GLPK/5.0`
archspec,0.1.3,foss/2021b,`module load foss/2021b archspec/0.1.3`
Bison,3.7.6,foss/2021b,`module load foss/2021b Bison/3.7.6`
Lua,5.4.3,foss/2021b,`module load foss/2021b Lua/5.4.3`
Autotools,20210726,foss/2021b,`module load foss/2021b Autotools/20210726`
re2c,2.2,foss/2021b,`module load foss/2021b re2c/2.2`
libtirpc,1.3.2,foss/2021b,`module load foss/2021b libtirpc/1.3.2`
LibTIFF,4.3.0,foss/2021b,`module load foss/2021b LibTIFF/4.3.0`
gperf,3.1,foss/2021b,`module load foss/2021b gperf/3.1`
Tcl,8.6.11,foss/2021b,`module load foss/2021b Tcl/8.6.11`
ACTC,1.1,foss/2021b,`module load foss/2021b ACTC/1.1`
x265,3.5,foss/2021b,`module load foss/2021b x265/3.5`
libdrm,2.4.107,foss/2021b,`module load foss/2021b libdrm/2.4.107`
Tkinter,3.9.6,foss/2021b,`module load foss/2021b Tkinter/3.9.6`
gzip,1.10,foss/2021b,`module load foss/2021b gzip/1.10`
SQLite,3.36,foss/2021b,`module load foss/2021b SQLite/3.36`
libreadline,8.1,foss/2021b,`module load foss/2021b libreadline/8.1`
numactl,2.0.14,foss/2021b,`module load foss/2021b numactl/2.0.14`
intltool,0.51.0,foss/2021b,`module load foss/2021b intltool/0.51.0`
double-conversion,3.1.5,foss/2021b,`module load foss/2021b double-conversion/3.1.5`
libunwind,1.5.0,foss/2021b,`module load foss/2021b libunwind/1.5.0`
Python,3.9.6,foss/2021b,`module load foss/2021b Python/3.9.6`
Python,2.7.18-bare,foss/2021b,`module load foss/2021b Python/2.7.18-bare`
Python,3.9.6-bare,foss/2021b,`module load foss/2021b Python/3.9.6-bare`
Ghostscript,9.54.0,foss/2021b,`module load foss/2021b Ghostscript/9.54.0`
help2man,1.48.3,foss/2021b,`module load foss/2021b help2man/1.48.3`
GDRCopy,2.3,foss/2021b,`module load foss/2021b GDRCopy/2.3`
JasPer,2.0.33,foss/2021b,`module load foss/2021b JasPer/2.0.33`
elfutils,0.185,foss/2021b,`module load foss/2021b elfutils/0.185`
flex,2.6.4,foss/2021b,`module load foss/2021b flex/2.6.4`
FriBidi,1.0.10,foss/2021b,`module load foss/2021b FriBidi/1.0.10`
cURL,7.78.0,foss/2021b,`module load foss/2021b cURL/7.78.0`
util-linux,2.37,foss/2021b,`module load foss/2021b util-linux/2.37`
libfabric,1.13.2,foss/2021b,`module load foss/2021b libfabric/1.13.2`
tqdm,4.62.3,foss/2021b,`module load foss/2021b tqdm/4.62.3`
nettle,3.7.3,foss/2021b,`module load foss/2021b nettle/3.7.3`
libiconv,1.16,foss/2021b,`module load foss/2021b libiconv/1.16`
