Software,Version,Dependent Toolchain,Module Load Command
FFTW.MPI,3.3.10,foss/2025a,`module load foss/2025a FFTW.MPI/3.3.10`
AmberTools,25.2,foss/2025a,`module load foss/2025a AmberTools/25.2`
ScaLAPACK,2.2.2-fb,foss/2025a,`module load foss/2025a ScaLAPACK/2.2.2-fb`
Hypre,2.33.0,foss/2025a,`module load foss/2025a Hypre/2.33.0`
MDI,1.4.26,foss/2024a,`module load foss/2024a MDI/1.4.26`
GROMACS,2024.4-CUDA-12.6.0,foss/2024a,`module load foss/2024a GROMACS/2024.4-CUDA-12.6.0`
GROMACS,2024.4,foss/2024a,`module load foss/2024a GROMACS/2024.4`
OpenFOAM,v2406,foss/2024a,`module load foss/2024a OpenFOAM/v2406`
PLUMED,2.9.3,foss/2024a,`module load foss/2024a PLUMED/2.9.3`
PnetCDF,1.14.0,foss/2024a,`module load foss/2024a PnetCDF/1.14.0`
netCDF-Fortran,4.6.1,foss/2024a,`module load foss/2024a netCDF-Fortran/4.6.1`
LAMMPS,29Aug2024_update2-kokkos,foss/2024a,`module load foss/2024a LAMMPS/29Aug2024_update2-kokkos`
LAMMPS,29Aug2024_update2-kokkos-CUDA-12.6.0,foss/2024a,`module load foss/2024a LAMMPS/29Aug2024_update2-kokkos-CUDA-12.6.0`
LAMMPS,2Aug2023_update2-kokkos-CUDA-12.6.0,foss/2024a,`module load foss/2024a LAMMPS/2Aug2023_update2-kokkos-CUDA-12.6.0`
SuiteSparse,7.10.1,foss/2024a,`module load foss/2024a SuiteSparse/7.10.1`
mpi4py,4.0.1,foss/2024a,`module load foss/2024a mpi4py/4.0.1`
OVITO,3.12.3-basic,foss/2024a,`module load foss/2024a OVITO/3.12.3-basic`
netCDF,4.9.2,foss/2024a,`module load foss/2024a netCDF/4.9.2`
MUMPS,5.7.2-metis,foss/2024a,`module load foss/2024a MUMPS/5.7.2-metis`
ParaView,5.13.2,foss/2024a,`module load foss/2024a ParaView/5.13.2`
Chapel,2.4.0,foss/2024a,`module load foss/2024a Chapel/2.4.0`
SuperLU_DIST,9.1.0,foss/2024a,`module load foss/2024a SuperLU_DIST/9.1.0`
QuantumESPRESSO,7.4,foss/2024a,`module load foss/2024a QuantumESPRESSO/7.4`
HPL,2.3,foss/2024a,`module load foss/2024a HPL/2.3`
SCOTCH,7.0.6,foss/2024a,`module load foss/2024a SCOTCH/7.0.6`
HDF5,1.14.5,foss/2024a,`module load foss/2024a HDF5/1.14.5`
AFNI,25.1.01,foss/2024a,`module load foss/2024a AFNI/25.1.01`
VTK,9.3.1,foss/2024a,`module load foss/2024a VTK/9.3.1`
ParMETIS,4.0.3,foss/2024a,`module load foss/2024a ParMETIS/4.0.3`
PETSc,3.23.5,foss/2024a,`module load foss/2024a PETSc/3.23.5`
SLEPc,3.23.2,foss/2024a,`module load foss/2024a SLEPc/3.23.2`
KaHIP,3.18,foss/2024a,`module load foss/2024a KaHIP/3.18`
ORCA,6.0.1-avx2,foss/2024a,`module load foss/2024a ORCA/6.0.1-avx2`
ELPA,2024.05.001,foss/2024a,`module load foss/2024a ELPA/2024.05.001`
igraph,0.10.16,foss/2024a,`module load foss/2024a igraph/0.10.16`
Siesta,5.4.0,foss/2024a,`module load foss/2024a Siesta/5.4.0`
libGridXC,2.0.2,foss/2024a,`module load foss/2024a libGridXC/2.0.2`
FFTW.MPI,3.3.10,foss/2024a,`module load foss/2024a FFTW.MPI/3.3.10`
arpack-ng,3.9.1,foss/2024a,`module load foss/2024a arpack-ng/3.9.1`
ScaFaCoS,1.0.4,foss/2024a,`module load foss/2024a ScaFaCoS/1.0.4`
ScaLAPACK,2.2.0-fb,foss/2024a,`module load foss/2024a ScaLAPACK/2.2.0-fb`
Hypre,2.32.0,foss/2024a,`module load foss/2024a Hypre/2.32.0`
impi,2021.15.0,intel/2025a,`module load intel/2025a`
impi,2021.13.0,intel/2024a,`module load intel/2024a`
matplotlib,3.10.3,foss/2025a,`module load foss/2025a matplotlib/3.10.3`
R,4.4.2,foss/2025a,`module load foss/2025a R/4.4.2`
libxsmm,1.17,foss/2025a,`module load foss/2025a libxsmm/1.17`
AutoDock-GPU,1.6-CUDA-12.8.0,foss/2025a,`module load foss/2025a AutoDock-GPU/1.6-CUDA-12.8.0`
packmol,21.0.4,foss/2025a,`module load foss/2025a packmol/21.0.4`
Boost.Python-NumPy,1.88.0,foss/2025a,`module load foss/2025a Boost.Python-NumPy/1.88.0`
SciPy-bundle,2025.06,foss/2025a,`module load foss/2025a SciPy-bundle/2025.06`
Libint,2.11.1-lmax-6-cp2k,foss/2025a,`module load foss/2025a Libint/2.11.1-lmax-6-cp2k`
scikit-learn,1.7.0,foss/2025a,`module load foss/2025a scikit-learn/1.7.0`
AOCL-BLAS,5.0,foss/2025a,`module load foss/2025a AOCL-BLAS/5.0`
OpenMPI,5.0.7,foss/2025a,`module load foss/2025a`
OpenBLAS,0.3.29,foss/2025a,`module load foss/2025a OpenBLAS/0.3.29`
spglib-python,2.6.0,foss/2025a,`module load foss/2025a spglib-python/2.6.0`
GSL,2.8,foss/2025a,`module load foss/2025a GSL/2.8`
networkx,3.5,foss/2025a,`module load foss/2025a networkx/3.5`
pybind11,2.13.6,foss/2025a,`module load foss/2025a pybind11/2.13.6`
BLIS,1.1,foss/2025a,`module load foss/2025a BLIS/1.1`
mrcfile,1.5.4,foss/2025a,`module load foss/2025a mrcfile/1.5.4`
Arrow,18.0.0,foss/2025a,`module load foss/2025a Arrow/18.0.0`
Boost,1.88.0,foss/2025a,`module load foss/2025a Boost/1.88.0`
FFTW,3.3.10,foss/2025a,`module load foss/2025a FFTW/3.3.10`
FlexiBLAS,3.4.5,foss/2025a,`module load foss/2025a FlexiBLAS/3.4.5`
libxc,7.0.0,foss/2025a,`module load foss/2025a libxc/7.0.0`
ASE,3.26.0,foss/2025a,`module load foss/2025a ASE/3.26.0`
Seaborn,0.13.2,foss/2025a,`module load foss/2025a Seaborn/0.13.2`
matplotlib,3.9.2,foss/2024a,`module load foss/2024a matplotlib/3.9.2`
R,4.4.2,foss/2024a,`module load foss/2024a R/4.4.2`
kim-api,2.4.1,foss/2024a,`module load foss/2024a kim-api/2.4.1`
libxsmm,1.17,foss/2024a,`module load foss/2024a libxsmm/1.17`
libfdf,0.5.1,foss/2024a,`module load foss/2024a libfdf/0.5.1`
mctc-lib,0.3.1,foss/2024a,`module load foss/2024a mctc-lib/0.3.1`
astropy,7.0.0,foss/2024a,`module load foss/2024a astropy/7.0.0`
xmlf90,1.6.3,foss/2024a,`module load foss/2024a xmlf90/1.6.3`
Simple-DFTD3,1.2.1,foss/2024a,`module load foss/2024a Simple-DFTD3/1.2.1`
test-drive,0.5.0,foss/2024a,`module load foss/2024a test-drive/0.5.0`
libPSML,2.1.0,foss/2024a,`module load foss/2024a libPSML/2.1.0`
astropy-testing,7.0.0,foss/2024a,`module load foss/2024a astropy-testing/7.0.0`
mstore,0.3.0,foss/2024a,`module load foss/2024a mstore/0.3.0`
json-fortran,9.0.3,foss/2024a,`module load foss/2024a json-fortran/9.0.3`
pocl,6.0,foss/2024a,`module load foss/2024a pocl/6.0`
NTL,11.5.1,foss/2024a,`module load foss/2024a NTL/11.5.1`
TOML-Fortran,0.4.2,foss/2024a,`module load foss/2024a TOML-Fortran/0.4.2`
SciPy-bundle,2024.05,foss/2024a,`module load foss/2024a SciPy-bundle/2024.05`
Libint,2.9.0-lmax-6-cp2k,foss/2024a,`module load foss/2024a Libint/2.9.0-lmax-6-cp2k`
flook,0.8.4,foss/2024a,`module load foss/2024a flook/0.8.4`
OpenMPI,5.0.3,foss/2024a,`module load foss/2024a`
OpenBLAS,0.3.27,foss/2024a,`module load foss/2024a OpenBLAS/0.3.27`
GSL,2.8,foss/2024a,`module load foss/2024a GSL/2.8`
networkx,3.4.2,foss/2024a,`module load foss/2024a networkx/3.4.2`
pybind11,2.12.0,foss/2024a,`module load foss/2024a pybind11/2.12.0`
BLIS,1.0,foss/2024a,`module load foss/2024a BLIS/1.0`
Boost,1.85.0,foss/2024a,`module load foss/2024a Boost/1.85.0`
FFTW,3.3.10,foss/2024a,`module load foss/2024a FFTW/3.3.10`
FlexiBLAS,3.4.4,foss/2024a,`module load foss/2024a FlexiBLAS/3.4.4`
VirtualGL,3.1.1,foss/2024a,`module load foss/2024a VirtualGL/3.1.1`
libxc,6.2.2,foss/2024a,`module load foss/2024a libxc/6.2.2`
FLINT,3.1.2,foss/2024a,`module load foss/2024a FLINT/3.1.2`
nodejs,22.16.0,foss/2025a,`module load foss/2025a nodejs/22.16.0`
Rust,1.85.1,foss/2025a,`module load foss/2025a Rust/1.85.1`
zlib,.1.3.1,foss/2025a,`module load foss/2025a zlib/.1.3.1`
jbigkit,2.1,foss/2025a,`module load foss/2025a jbigkit/2.1`
Qt6,6.9.1,foss/2025a,`module load foss/2025a Qt6/6.9.1`
glslang,15.3.0,foss/2025a,`module load foss/2025a glslang/15.3.0`
lz4,1.10.0,foss/2025a,`module load foss/2025a lz4/1.10.0`
libarchive,3.7.7,foss/2025a,`module load foss/2025a libarchive/3.7.7`
virtualenv,20.29.2,foss/2025a,`module load foss/2025a virtualenv/20.29.2`
libidn2,2.3.7,foss/2025a,`module load foss/2025a libidn2/2.3.7`
Ninja,1.12.1,foss/2025a,`module load foss/2025a Ninja/1.12.1`
jupyter-server,2.16.0,foss/2025a,`module load foss/2025a jupyter-server/2.16.0`
Perl,5.40.0,foss/2025a,`module load foss/2025a Perl/5.40.0`
M4,1.4.19,foss/2025a,`module load foss/2025a M4/1.4.19`
GLib,2.85.1,foss/2025a,`module load foss/2025a GLib/2.85.1`
ICU,76.1,foss/2025a,`module load foss/2025a ICU/76.1`
giflib,5.2.2,foss/2025a,`module load foss/2025a giflib/5.2.2`
libsodium,1.0.20,foss/2025a,`module load foss/2025a libsodium/1.0.20`
groff,1.23.0,foss/2025a,`module load foss/2025a groff/1.23.0`
py-cpuinfo,9.0.0,foss/2025a,`module load foss/2025a py-cpuinfo/9.0.0`
Meson,1.6.1,foss/2025a,`module load foss/2025a Meson/1.6.1`
IPython,9.3.0,foss/2025a,`module load foss/2025a IPython/9.3.0`
Z3,4.13.4,foss/2025a,`module load foss/2025a Z3/4.13.4`
gettext,0.24,foss/2025a,`module load foss/2025a gettext/0.24`
JupyterNotebook,7.4.4,foss/2025a,`module load foss/2025a JupyterNotebook/7.4.4`
LittleCMS,2.17,foss/2025a,`module load foss/2025a LittleCMS/2.17`
scikit-build,0.18.1,foss/2025a,`module load foss/2025a scikit-build/0.18.1`
Szip,2.1.1,foss/2025a,`module load foss/2025a Szip/2.1.1`
libffi,3.4.5,foss/2025a,`module load foss/2025a libffi/3.4.5`
LZO,2.10,foss/2025a,`module load foss/2025a LZO/2.10`
Eigen,3.4.0,foss/2025a,`module load foss/2025a Eigen/3.4.0`
PyYAML,6.0.2,foss/2025a,`module load foss/2025a PyYAML/6.0.2`
GObject-Introspection,1.84.0,foss/2025a,`module load foss/2025a GObject-Introspection/1.84.0`
LAME,3.100,foss/2025a,`module load foss/2025a LAME/3.100`
snappy,1.2.2,foss/2025a,`module load foss/2025a snappy/1.2.2`
NSS,3.113,foss/2025a,`module load foss/2025a NSS/3.113`
expat,2.6.4,foss/2025a,`module load foss/2025a expat/2.6.4`
Abseil,20250512.1,foss/2025a,`module load foss/2025a Abseil/20250512.1`
jedi,0.19.1,foss/2025a,`module load foss/2025a jedi/0.19.1`
Autoconf,2.72,foss/2025a,`module load foss/2025a Autoconf/2.72`
hatchling,1.27.0,foss/2025a,`module load foss/2025a hatchling/1.27.0`
Xvfb,21.1.18,foss/2025a,`module load foss/2025a Xvfb/21.1.18`
Flask,3.1.1,foss/2025a,`module load foss/2025a Flask/3.1.1`
xxd,9.1.1457,foss/2025a,`module load foss/2025a xxd/9.1.1457`
flit,3.10.1,foss/2025a,`module load foss/2025a flit/3.10.1`
libunistring,1.3,foss/2025a,`module load foss/2025a libunistring/1.3`
utf8proc,2.9.0,foss/2025a,`module load foss/2025a utf8proc/2.9.0`
XZ,5.6.3,foss/2025a,`module load foss/2025a XZ/5.6.3`
cppy,1.3.1,foss/2025a,`module load foss/2025a cppy/1.3.1`
X11,20250521,foss/2025a,`module load foss/2025a X11/20250521`
Mesa,24.1.3,foss/2025a,`module load foss/2025a Mesa/24.1.3`
Mesa,25.1.3,foss/2025a,`module load foss/2025a Mesa/25.1.3`
GLPK,5.0,foss/2025a,`module load foss/2025a GLPK/5.0`
Bison,3.8.2,foss/2025a,`module load foss/2025a Bison/3.8.2`
setuptools-rust,1.11.0,foss/2025a,`module load foss/2025a setuptools-rust/1.11.0`
Autotools,20240712,foss/2025a,`module load foss/2025a Autotools/20240712`
ZeroMQ,4.3.5,foss/2025a,`module load foss/2025a ZeroMQ/4.3.5`
re2c,4.2,foss/2025a,`module load foss/2025a re2c/4.2`
Wayland,1.23.92,foss/2025a,`module load foss/2025a Wayland/1.23.92`
LibTIFF,4.7.0,foss/2025a,`module load foss/2025a LibTIFF/4.7.0`
gperf,3.3,foss/2025a,`module load foss/2025a gperf/3.3`
Tcl,8.6.16,foss/2025a,`module load foss/2025a Tcl/8.6.16`
patchelf,0.18.0,foss/2025a,`module load foss/2025a patchelf/0.18.0`
x265,4.1,foss/2025a,`module load foss/2025a x265/4.1`
libdrm,2.4.125,foss/2025a,`module load foss/2025a libdrm/2.4.125`
libheif,1.19.8,foss/2025a,`module load foss/2025a libheif/1.19.8`
Tkinter,3.13.1,foss/2025a,`module load foss/2025a Tkinter/3.13.1`
gzip,1.13,foss/2025a,`module load foss/2025a gzip/1.13`
Perl-bundle-CPAN,5.40.0,foss/2025a,`module load foss/2025a Perl-bundle-CPAN/5.40.0`
libxslt,1.1.42,foss/2025a,`module load foss/2025a libxslt/1.1.42`
SQLite,3.47.2,foss/2025a,`module load foss/2025a SQLite/3.47.2`
setuptools,80.9.0,foss/2025a,`module load foss/2025a setuptools/80.9.0`
cryptography,44.0.2,foss/2025a,`module load foss/2025a cryptography/44.0.2`
libreadline,8.2,foss/2025a,`module load foss/2025a libreadline/8.2`
numactl,2.0.19,foss/2025a,`module load foss/2025a numactl/2.0.19`
libvori,220621,foss/2025a,`module load foss/2025a libvori/220621`
intltool,0.51.0,foss/2025a,`module load foss/2025a intltool/0.51.0`
Blosc,1.21.6,foss/2025a,`module load foss/2025a Blosc/1.21.6`
DMTCP,4.0.0,foss/2025a,`module load foss/2025a DMTCP/4.0.0`
double-conversion,3.3.1,foss/2025a,`module load foss/2025a double-conversion/3.3.1`
libunwind,1.8.1,foss/2025a,`module load foss/2025a libunwind/1.8.1`
Python,3.13.1,foss/2025a,`module load foss/2025a Python/3.13.1`
help2man,1.49.3,foss/2025a,`module load foss/2025a help2man/1.49.3`
GDRCopy,2.4.4,foss/2025a,`module load foss/2025a GDRCopy/2.4.4`
JasPer,4.2.5,foss/2025a,`module load foss/2025a JasPer/4.2.5`
matlab-proxy,0.27.1,foss/2025a,`module load foss/2025a matlab-proxy/0.27.1`
RapidJSON,1.1.0-20250205,foss/2025a,`module load foss/2025a RapidJSON/1.1.0-20250205`
flex,2.6.4,foss/2025a,`module load foss/2025a flex/2.6.4`
FriBidi,1.0.16,foss/2025a,`module load foss/2025a FriBidi/1.0.16`
hatch-jupyter-builder,0.9.1,foss/2025a,`module load foss/2025a hatch-jupyter-builder/0.9.1`
UCC,1.3.0,foss/2025a,`module load foss/2025a UCC/1.3.0`
cURL,8.11.1,foss/2025a,`module load foss/2025a cURL/8.11.1`
util-linux,2.41,foss/2025a,`module load foss/2025a util-linux/2.41`
libfabric,2.0.0,foss/2025a,`module load foss/2025a libfabric/2.0.0`
tqdm,4.67.1,foss/2025a,`module load foss/2025a tqdm/4.67.1`
nettle,3.10.1,foss/2025a,`module load foss/2025a nettle/3.10.1`
libiconv,1.18,foss/2025a,`module load foss/2025a libiconv/1.18`
aiohttp,3.12.13,foss/2025a,`module load foss/2025a aiohttp/3.12.13`
MPFR,4.2.2,foss/2025a,`module load foss/2025a MPFR/4.2.2`
CMake,3.31.3,foss/2025a,`module load foss/2025a CMake/3.31.3`
fontconfig,2.16.2,foss/2025a,`module load foss/2025a fontconfig/2.16.2`
libgit2,1.9.1,foss/2025a,`module load foss/2025a libgit2/1.9.1`
Mako,1.3.10,foss/2025a,`module load foss/2025a Mako/1.3.10`
libglvnd,1.7.0,foss/2025a,`module load foss/2025a libglvnd/1.7.0`
SPIRV-tools,2025.2.rc2,foss/2025a,`module load foss/2025a SPIRV-tools/2025.2.rc2`
freetype,2.13.3,foss/2025a,`module load foss/2025a freetype/2.13.3`
lxml,5.3.0,foss/2025a,`module load foss/2025a lxml/5.3.0`
bzip2,1.0.8,foss/2025a,`module load foss/2025a bzip2/1.0.8`
fonttools,4.58.4,foss/2025a,`module load foss/2025a fonttools/4.58.4`
zstd,1.5.6,foss/2025a,`module load foss/2025a zstd/1.5.6`
cairo,1.18.4,foss/2025a,`module load foss/2025a cairo/1.18.4`
Automake,1.17,foss/2025a,`module load foss/2025a Automake/1.17`
libGLU,9.0.3,foss/2025a,`module load foss/2025a libGLU/9.0.3`
HarfBuzz,11.2.1,foss/2025a,`module load foss/2025a HarfBuzz/11.2.1`
Blosc2,2.19.0,foss/2025a,`module load foss/2025a Blosc2/2.19.0`
GMP,6.3.0,foss/2025a,`module load foss/2025a GMP/6.3.0`
BeautifulSoup,4.13.4,foss/2025a,`module load foss/2025a BeautifulSoup/4.13.4`
SDL2,2.32.8,foss/2025a,`module load foss/2025a SDL2/2.32.8`
psutil,7.0.0,foss/2025a,`module load foss/2025a psutil/7.0.0`
libtool,2.5.4,foss/2025a,`module load foss/2025a libtool/2.5.4`
assimp,6.0.2,foss/2025a,`module load foss/2025a assimp/6.0.2`
lit,18.1.8,foss/2025a,`module load foss/2025a lit/18.1.8`
LLVM,20.1.5,foss/2025a,`module load foss/2025a LLVM/20.1.5`
LLVM,20.1.8,foss/2025a,`module load foss/2025a LLVM/20.1.8`
PRRTE,3.0.8,foss/2025a,`module load foss/2025a PRRTE/3.0.8`
googlebenchmark,1.9.4,foss/2025a,`module load foss/2025a googlebenchmark/1.9.4`
libjpeg-turbo,3.1.0,foss/2025a,`module load foss/2025a libjpeg-turbo/3.1.0`
Gdk-Pixbuf,2.42.12,foss/2025a,`module load foss/2025a Gdk-Pixbuf/2.42.12`
NSPR,4.36,foss/2025a,`module load foss/2025a NSPR/4.36`
x264,20250619,foss/2025a,`module load foss/2025a x264/20250619`
DBus,1.16.2,foss/2025a,`module load foss/2025a DBus/1.16.2`
xorg-macros,1.20.2,foss/2025a,`module load foss/2025a xorg-macros/1.20.2`
cffi,1.17.1,foss/2025a,`module load foss/2025a cffi/1.17.1`
binutils,2.42,foss/2025a,`module load foss/2025a binutils/2.42`
spin,0.14,foss/2025a,`module load foss/2025a spin/0.14`
Brotli,1.1.0,foss/2025a,`module load foss/2025a Brotli/1.1.0`
PCRE2,10.45,foss/2025a,`module load foss/2025a PCRE2/10.45`
libpciaccess,0.18.1,foss/2025a,`module load foss/2025a libpciaccess/0.18.1`
FFmpeg,7.1.1,foss/2025a,`module load foss/2025a FFmpeg/7.1.1`
make,4.4.1,foss/2025a,`module load foss/2025a make/4.4.1`
Pillow,11.3.0,foss/2025a,`module load foss/2025a Pillow/11.3.0`
pixman,0.46.2,foss/2025a,`module load foss/2025a pixman/0.46.2`
googletest,1.17.0,foss/2025a,`module load foss/2025a googletest/1.17.0`
METIS,5.1.0,foss/2025a,`module load foss/2025a METIS/5.1.0`
UCX,1.18.0,foss/2025a,`module load foss/2025a UCX/1.18.0`
PMIx,5.0.6,foss/2025a,`module load foss/2025a PMIx/5.0.6`
ncurses,.6.5,foss/2025a,`module load foss/2025a ncurses/.6.5`
Cython,3.1.1,foss/2025a,`module load foss/2025a Cython/3.1.1`
libpng,1.6.48,foss/2025a,`module load foss/2025a libpng/1.6.48`
p7zip,17.05,foss/2025a,`module load foss/2025a p7zip/17.05`
libevent,2.1.12,foss/2025a,`module load foss/2025a libevent/2.1.12`
Yasm,1.3.0,foss/2025a,`module load foss/2025a Yasm/1.3.0`
Doxygen,1.14.0,foss/2025a,`module load foss/2025a Doxygen/1.14.0`
hwloc,2.11.2,foss/2025a,`module load foss/2025a hwloc/2.11.2`
libde265,1.0.16,foss/2025a,`module load foss/2025a libde265/1.0.16`
libxml2,2.13.4,foss/2025a,`module load foss/2025a libxml2/2.13.4`
NASM,2.16.03,foss/2025a,`module load foss/2025a NASM/2.16.03`
scikit-build-core,0.11.1,foss/2025a,`module load foss/2025a scikit-build-core/0.11.1`
git,2.49.0,foss/2025a,`module load foss/2025a git/2.49.0`
PyZMQ,27.0.0,foss/2025a,`module load foss/2025a PyZMQ/27.0.0`
UnZip,6.0,foss/2025a,`module load foss/2025a UnZip/6.0`
libpsl,0.21.5,foss/2025a,`module load foss/2025a libpsl/0.21.5`
tornado,6.5.1,foss/2025a,`module load foss/2025a tornado/6.5.1`
graphite2,1.3.14,foss/2025a,`module load foss/2025a graphite2/1.3.14`
poetry,2.1.2,foss/2025a,`module load foss/2025a poetry/2.1.2`
hypothesis,6.133.2,foss/2025a,`module load foss/2025a hypothesis/6.133.2`
NCCL,2.26.6-CUDA-12.8.0,foss/2025a,`module load foss/2025a NCCL/2.26.6-CUDA-12.8.0`
OpenJPEG,2.5.3,foss/2025a,`module load foss/2025a OpenJPEG/2.5.3`
Catch2,2.13.10,foss/2025a,`module load foss/2025a Catch2/2.13.10`
Catch2,3.8.1,foss/2025a,`module load foss/2025a Catch2/3.8.1`
RE2,2024-07-02,foss/2025a,`module load foss/2025a RE2/2024-07-02`
